"1","Lurtsema","Lurtsema","Lurtsema","Schrage","Schrage","Schrage","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Schrage","Write-in","","Lurtsema","Write-in","","Lurtsema","Schrage","",""
"12-250 Southeast Anchorage No. 1","272","88","2","335","120","5","2","0","0","55","1"
"12-255 Southeast Anchorage No. 2","175","40","4","173","71","1","2","0","0","22","0"
"12-260 Southeast Anchorage No. 3","262","67","3","296","116","2","3","0","0","49","1"
"12-265 Southeast Anchorage No. 4","291","49","2","325","88","1","2","1","0","50","0"
"12-270 Southeast Anchorage No. 5","290","101","2","371","134","3","2","0","0","63","2"
"12-275 Southeast Anchorage No. 6","227","46","2","384","99","2","1","0","0","41","0"
"District 12 - Absentee","369","79","8","1113","179","22","4","2","4","91","0"
"District 12 - Early Voting","566","61","8","730","164","12","2","1","1","55","0"
"District 12  - Question","22","8","0","15","9","0","1","0","0","7","0"
"Total","2474","539","31","3742","980","48","19","4","5","433","4"
