"1","Gottshall","Gottshall","Gottshall","Josephson","Josephson","Josephson","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Josephson","Write-in","","Gottshall","Write-in","","Gottshall","Josephson","",""
"13-305 South Midtown No. 1","99","23","3","62","23","4","0","0","0","9","0"
"13-310 South Midtown No. 2","463","88","9","363","125","6","1","0","1","32","0"
"13-315 South Midtown No. 3","384","93","6","351","111","7","1","2","1","24","0"
"13-320 South Midtown No. 4","365","95","8","322","109","10","1","0","0","43","1"
"13-325 South Midtown No. 5","300","76","5","417","137","18","1","0","2","32","1"
"District 13 - Absentee","419","66","7","822","134","31","2","0","2","49","2"
"District 13 - Early Voting","589","96","16","510","137","12","0","0","1","31","0"
"District 13  - Question","42","18","0","23","11","0","0","0","0","6","0"
"Total","2661","555","54","2870","787","88","6","2","7","226","4"
