"1","Galvin","Kamdem","Blank","Overvote"
"14-350 North Midtown No. 1","184","67","38","1"
"14-355 North Midtown No. 2","254","87","48","0"
"14-360 North Midtown No. 3","205","66","50","0"
"14-365 North Midtown No. 4","278","120","54","0"
"14-370 North Midtown No. 5","473","189","83","2"
"14-375 North Midtown No. 6","346","90","61","1"
"14-380 North Midtown No. 7","644","119","104","1"
"District 14 - Absentee","1288","276","175","2"
"District 14 - Early Voting","1154","266","214","1"
"District 14  - Question","37","23","9","0"
"Total","4863","1303","836","8"
