"1","Galvin","Galvin","Galvin","Kamdem","Kamdem","Kamdem","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Kamdem","Write-in","","Galvin","Write-in","","Galvin","Kamdem","",""
"14-350 North Midtown No. 1","129","52","2","42","25","0","8","1","0","30","1"
"14-355 North Midtown No. 2","177","73","3","51","36","0","4","1","0","44","0"
"14-360 North Midtown No. 3","142","61","2","45","20","1","5","0","0","45","0"
"14-365 North Midtown No. 4","194","80","3","67","51","1","8","1","1","46","0"
"14-370 North Midtown No. 5","343","127","1","114","72","1","8","2","2","75","2"
"14-375 North Midtown No. 6","257","87","2","64","24","1","9","0","1","52","1"
"14-380 North Midtown No. 7","495","144","5","72","44","0","18","0","3","86","1"
"District 14 - Absentee","973","304","11","171","99","3","18","0","3","157","2"
"District 14 - Early Voting","874","269","9","172","90","2","30","2","2","184","1"
"District 14  - Question","25","12","0","12","11","0","1","0","0","8","0"
"Total","3609","1209","38","810","472","9","109","7","12","727","8"
