"1","Costello","Darden","Blank","Exhausted","Overvote"
"15-405 Southwest Anchorage No. 1","397","89","16","163","2"
"15-410 Southwest Anchorage No. 2","482","121","25","165","1"
"15-415 Southwest Anchorage No. 3","551","142","28","222","0"
"15-420 Southwest Anchorage No. 4","447","143","38","202","0"
"15-425 Southwest Anchorage No. 5","461","126","20","187","0"
"15-430 Southwest Anchorage No. 6","751","156","35","239","1"
"District 15 - Absentee","952","357","57","708","0"
"District 15 - Early Voting","961","304","48","429","1"
"District 15  - Question","34","13","1","11","0"
"Total","5036","1451","268","2326","5"
