"1","Darden","Wells","Blank","Exhausted","Overvote"
"15-405 Southwest Anchorage No. 1","32","316","16","303","0"
"15-410 Southwest Anchorage No. 2","37","381","25","351","0"
"15-415 Southwest Anchorage No. 3","52","466","28","396","1"
"15-420 Southwest Anchorage No. 4","53","430","38","307","2"
"15-425 Southwest Anchorage No. 5","39","400","20","335","0"
"15-430 Southwest Anchorage No. 6","57","507","35","582","1"
"District 15 - Absentee","75","1215","57","726","1"
"District 15 - Early Voting","89","803","48","801","2"
"District 15  - Question","5","27","1","26","0"
"Total","439","4545","268","3827","7"
