"1","Costello","Wells","Blank","Exhausted","Overvote"
"15-405 Southwest Anchorage No. 1","367","276","16","8","0"
"15-410 Southwest Anchorage No. 2","430","330","25","9","0"
"15-415 Southwest Anchorage No. 3","496","407","28","12","0"
"15-420 Southwest Anchorage No. 4","399","380","38","13","0"
"15-425 Southwest Anchorage No. 5","411","357","20","6","0"
"15-430 Southwest Anchorage No. 6","685","456","35","5","1"
"District 15 - Absentee","848","1154","57","15","0"
"District 15 - Early Voting","903","778","48","13","1"
"District 15  - Question","30","26","1","2","0"
"Total","4569","4164","268","83","2"
