"1","Costello","Costello","Costello","Costello","Costello","Costello","Costello","Costello","Costello","Costello","Costello","Costello","Darden","Darden","Darden","Darden","Darden","Darden","Darden","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Darden","Darden","Darden","Overvote","Wells","Wells","Wells","Write-in","Write-in","Write-in","Write-in","","Costello","Costello","Wells","Wells","Wells","Write-in","","Costello","Costello","Costello","Costello","Darden","Darden","Darden","Darden","Overvote","Write-in","Write-in","Write-in","","Costello","Costello","Darden","Wells","",""
"3","","","Wells","Write-in","","","Darden","Write-in","","Darden","Overvote","Wells","","","Wells","","Costello","Write-in","","","","Darden","Overvote","Write-in","","Costello","Overvote","Write-in","","","Costello","Darden","","","Wells","Wells","Costello","",""
"15-405 Southwest Anchorage No. 1","302","4","8","0","0","12","36","1","1","1","0","0","8","1","1","5","4","0","0","163","22","9","1","0","37","32","0","0","2","0","0","1","1","0","0","0","0","15","0"
"15-410 Southwest Anchorage No. 2","349","1","15","2","0","23","36","0","1","1","0","0","9","1","0","4","4","0","0","165","22","31","0","0","55","42","1","3","1","0","0","2","1","1","0","0","0","24","0"
"15-415 Southwest Anchorage No. 3","391","5","14","0","1","26","48","0","5","2","0","1","12","0","2","6","11","0","0","222","22","34","0","1","57","51","0","3","0","0","0","0","1","0","1","0","0","27","0"
"15-420 Southwest Anchorage No. 4","306","3","20","1","2","16","47","0","1","1","0","0","13","0","1","6","8","0","0","202","18","30","0","0","67","46","0","2","0","0","0","0","0","0","1","0","1","38","0"
"15-425 Southwest Anchorage No. 5","334","4","16","0","0","22","28","2","1","1","0","2","6","0","1","7","4","0","0","186","33","18","0","0","62","42","0","2","0","1","0","2","0","0","0","0","0","20","0"
"15-430 Southwest Anchorage No. 6","576","10","17","0","0","16","46","0","5","6","0","3","5","2","3","11","3","0","0","238","40","29","0","0","81","46","0","4","0","1","1","1","4","1","0","0","1","31","1"
"District 15 - Absentee","720","9","11","1","0","43","51","1","6","3","1","0","14","1","1","20","11","2","1","705","65","38","0","2","201","99","0","3","0","3","1","3","1","0","0","1","0","56","0"
"District 15 - Early Voting","798","15","15","1","0","21","35","0","3","6","1","2","13","2","4","19","12","2","0","427","41","23","0","0","164","82","0","2","0","2","0","4","2","0","0","0","0","46","1"
"District 15  - Question","26","0","0","0","0","2","2","0","0","0","0","0","2","0","0","2","1","0","0","11","2","2","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Total","3802","51","116","5","3","181","329","4","23","21","2","8","82","7","13","80","58","4","1","2319","265","214","1","3","727","445","1","19","3","7","2","13","10","2","2","1","2","258","2"
