"1","Hall","Moe","Blank","Overvote"
"16-450 West Anchorage No. 1","429","185","46","0"
"16-455 West Anchorage No. 2","419","322","58","0"
"16-460 West Anchorage No. 3","517","439","97","1"
"16-465 West Anchorage No. 4","227","248","60","1"
"16-470 West Anchorage No. 5","366","442","102","0"
"16-475 West Anchorage No. 6","312","344","114","0"
"16-480 West Anchorage No. 7","248","304","67","1"
"District 16 - Absentee","1340","664","164","0"
"District 16 - Early Voting","997","683","155","2"
"District 16  - Question","20","35","9","0"
"Total","4875","3666","872","5"
