"1","Hall","Hall","Hall","Hall","Moe","Moe","Moe","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Moe","Overvote","Write-in","","Hall","Write-in","","Hall","Moe","",""
"16-450 West Anchorage No. 1","346","80","0","3","156","28","1","3","0","0","43","0"
"16-455 West Anchorage No. 2","304","112","0","3","240","77","3","4","0","2","54","0"
"16-460 West Anchorage No. 3","383","132","0","0","336","93","8","2","2","2","95","1"
"16-465 West Anchorage No. 4","175","49","0","2","178","60","10","1","1","0","59","1"
"16-470 West Anchorage No. 5","258","106","0","1","354","83","3","4","1","2","98","0"
"16-475 West Anchorage No. 6","235","73","0","4","277","64","2","6","0","1","108","0"
"16-480 West Anchorage No. 7","179","68","0","0","216","84","2","4","1","2","63","1"
"District 16 - Absentee","1078","243","1","17","550","107","7","21","1","0","143","0"
"District 16 - Early Voting","767","214","0","14","563","109","10","20","2","1","135","2"
"District 16  - Question","17","2","0","1","20","14","1","0","0","0","9","0"
"Total","3742","1079","1","45","2890","719","47","65","8","10","807","5"
