"1","Fields","Write-in","Blank"
"17-505 Downtown Anchorage No. 1","239","20","88"
"17-510 Downtown Anchorage No. 2","368","26","100"
"17-515 Downtown Anchorage No. 3","247","24","76"
"17-520 Downtown Anchorage No. 4","442","36","158"
"17-525 Downtown Anchorage No. 5","323","11","99"
"17-530 Downtown Anchorage No. 6","227","19","70"
"17-535 Downtown Anchorage No. 7","324","26","97"
"District 17 - Absentee","1562","94","465"
"District 17 - Early Voting","1556","105","444"
"District 17  - Question","76","2","30"
"Total","5364","363","1627"
