"1","Anderson","Anderson","Anderson","Anderson","Mina","Mina","Mina","Mina","Wyatt","Wyatt","Wyatt","Blank","Overvote"
"2","","Mina","Overvote","Wyatt","","Anderson","Overvote","Wyatt","","Anderson","Mina","",""
"19-605 Airport Heights No. 1","150","19","0","39","336","14","0","86","22","8","11","39","0"
"19-610 Airport Heights No. 2","232","7","0","30","265","14","1","55","43","3","8","65","0"
"19-615 Mountainview No. 1","77","13","0","24","139","18","0","50","19","18","15","29","0"
"19-620 Mountainview No. 2","82","12","1","27","120","19","0","34","30","8","14","31","2"
"19-625 South Mountainview","117","10","0","18","158","11","0","29","21","5","9","84","0"
"District 19 - Absentee","174","13","0","35","567","38","3","147","19","7","18","58","1"
"District 19 - Early Voting","186","8","0","45","371","13","1","120","30","9","9","37","1"
"District 19  - Question","27","2","0","8","41","5","0","8","11","3","6","26","1"
"Total","1045","84","1","226","1997","132","5","529","195","61","90","369","5"
