"1","Anderson","Anderson","Anderson","Anderson","Anderson","Anderson","Anderson","Anderson","Anderson","Mina","Mina","Mina","Mina","Mina","Mina","Mina","Mina","Mina","Mina","Mina","Write-in","Write-in","Write-in","Write-in","Wyatt","Wyatt","Wyatt","Wyatt","Wyatt","Wyatt","Wyatt","Wyatt","Blank","Overvote"
"2","","Mina","Mina","Overvote","Write-in","Write-in","Wyatt","Wyatt","Wyatt","","Anderson","Anderson","Anderson","Overvote","Write-in","Write-in","Wyatt","Wyatt","Wyatt","Wyatt","","Anderson","Mina","Wyatt","","Anderson","Anderson","Mina","Mina","Mina","Write-in","Write-in","",""
"3","","","Wyatt","","","Wyatt","","Mina","Write-in","","","Write-in","Wyatt","","","Wyatt","","Anderson","Overvote","Write-in","","Wyatt","Wyatt","Mina","","","Mina","","Anderson","Write-in","","Anderson","",""
"19-605 Airport Heights No. 1","150","6","13","0","0","3","17","19","0","335","4","0","10","0","1","1","30","53","0","1","1","0","1","0","22","0","8","5","6","0","0","0","38","0"
"19-610 Airport Heights No. 2","232","2","5","0","0","0","16","13","1","264","5","0","9","1","1","0","20","34","0","1","2","0","0","0","43","1","2","3","5","0","0","0","63","0"
"19-615 Mountainview No. 1","77","4","9","0","0","0","7","13","4","139","3","0","15","0","0","1","16","33","0","0","0","0","0","1","19","7","11","5","9","0","0","0","29","0"
"19-620 Mountainview No. 2","81","2","10","1","1","0","8","17","2","120","2","0","17","0","0","0","9","25","0","0","2","0","0","0","30","2","5","2","12","0","0","1","29","2"
"19-625 South Mountainview","116","5","5","0","1","0","8","10","0","158","2","0","9","0","0","0","14","15","0","0","3","0","0","0","21","1","4","2","7","0","0","0","81","0"
"District 19 - Absentee","174","4","9","0","0","4","8","21","1","561","6","1","31","3","6","1","66","79","1","0","4","1","0","0","18","2","5","5","11","2","1","0","54","1"
"District 19 - Early Voting","183","2","6","0","3","1","20","16","8","370","1","0","12","1","1","1","40","74","2","3","2","0","0","0","30","2","7","2","7","0","0","0","35","1"
"District 19  - Question","27","0","2","0","0","0","2","6","0","41","2","0","3","0","0","0","0","8","0","0","1","0","0","0","11","1","2","0","6","0","0","0","25","1"
"Total","1040","25","59","1","5","8","86","115","16","1988","25","1","106","5","9","4","195","321","3","5","15","1","1","1","194","16","44","24","63","2","1","1","354","5"
