"1","Himschoot","Write-in","Blank"
"02-700 Angoon","95","0","18"
"02-705 Craig","287","11","98"
"02-720 Hoonah","200","7","57"
"02-725 Hydaburg","66","0","32"
"02-730 Kake","147","1","33"
"02-735 Kasaan","15","2","8"
"02-740 Klawock","254","5","86"
"02-750 Pelican-Elfin Cove","30","0","10"
"02-755 Petersburg-Kupreanof","609","13","221"
"02-760 Port Alexander","9","0","2"
"02-765 Sitka No. 1","780","33","153"
"02-770 Sitka No. 2","730","19","156"
"02-775 Tenakee Springs","39","0","3"
"02-780 Thorne Bay","122","4","64"
"02-785 Yakutat","180","2","44"
"District 2 - Absentee","3513","81","980"
"District 2 - Early Voting","59","2","15"
"District 2  - Question","40","0","16"
"Total","7175","180","1996"
