"1","Gray","Gray","Gray","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Kohlhaas","Write-in","","Gray","Overvote","Write-in","","Gray","Kohlhaas","",""
"20-650 University No. 1","96","51","0","56","30","0","0","4","1","1","31","0"
"20-655 University No. 2","359","125","0","207","67","0","1","8","0","1","152","0"
"20-660 University No. 3","374","127","8","242","64","1","2","4","0","1","95","1"
"20-665 University No. 4","183","49","2","102","31","0","6","5","0","0","49","0"
"20-670 University No. 5","483","189","4","381","113","1","3","15","0","1","121","1"
"District 20 - Absentee","955","171","8","325","61","0","9","8","4","2","147","0"
"District 20 - Early Voting","552","162","13","386","65","0","7","11","0","0","103","1"
"District 20  - Question","13","9","0","11","4","0","0","1","0","0","7","1"
"Total","3015","883","35","1710","435","2","28","56","5","6","705","4"
