"1","Mears","Mears","Mears","Mears","Sims","Sims","Sims","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Overvote","Sims","Write-in","","Mears","Write-in","","Mears","Overvote","Sims","",""
"21-705 East Anchorage No. 1","299","0","69","2","257","26","7","0","0","0","0","33","1"
"21-710 East Anchorage No. 2","256","0","95","6","343","65","7","0","1","0","0","30","1"
"21-715 East Anchorage No. 3","349","1","156","10","449","86","14","1","0","0","1","49","1"
"21-720 East Anchorage No. 4","350","0","67","5","336","58","4","1","0","0","0","37","0"
"21-725 East Anchorage No. 5","459","1","151","8","465","96","12","1","0","0","2","21","1"
"District 21 - Absentee","1302","0","200","27","671","98","18","3","0","0","2","71","0"
"District 21 - Early Voting","641","0","147","17","608","64","24","6","0","0","1","32","1"
"District 21  - Question","34","0","18","1","33","9","1","0","0","1","0","3","1"
"Total","3690","2","903","76","3162","502","87","12","1","1","6","276","6"
