"1","Allard","Arlington","Blank","Overvote"
"23-805 Chugach Park No. 1","620","380","65","1"
"23-810 Eagle River No. 1","392","199","41","0"
"23-815 Eagle River No. 2","390","242","49","0"
"23-820 Hiland","410","187","40","1"
"23-825 Meadow Creek No. 1","436","259","27","1"
"23-830 Meadow Creek No. 2","276","127","20","0"
"District 23 - Absentee","1285","1180","138","1"
"District 23 - Early Voting","2255","1159","103","0"
"District 23  - Question","78","24","10","0"
"Total","6142","3757","493","4"
