"1","Allard","Allard","Allard","Arlington","Arlington","Arlington","Arlington","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Arlington","Write-in","","Allard","Overvote","Write-in","","Allard","Arlington","",""
"23-805 Chugach Park No. 1","528","85","7","274","93","0","11","2","0","2","63","1"
"23-810 Eagle River No. 1","316","68","8","148","48","0","2","3","0","1","38","0"
"23-815 Eagle River No. 2","303","79","6","169","62","0","11","4","2","0","45","0"
"23-820 Hiland","338","70","2","142","45","0","0","4","0","0","36","1"
"23-825 Meadow Creek No. 1","357","72","6","178","76","0","5","1","1","0","26","1"
"23-830 Meadow Creek No. 2","243","31","2","91","33","0","2","2","0","1","18","0"
"District 23 - Absentee","1135","133","15","981","169","1","28","2","2","1","136","1"
"District 23 - Early Voting","2027","194","32","930","198","0","31","6","2","0","97","0"
"District 23  - Question","53","24","1","15","7","0","2","1","0","0","9","0"
"Total","5300","756","79","2928","731","1","92","25","7","5","468","4"
