"1","Saddler","Write-in","Blank","Overvote"
"24-850 Chugach Park No. 2","569","18","92","0"
"24-855 Chugiak","307","9","52","0"
"24-860 Eagle River No. 3","499","13","102","0"
"24-865 Eklutna","527","13","101","1"
"24-870 Fire Lake","607","24","93","1"
"24-875 Peters Creek No. 1","841","17","125","0"
"24-880 Peters Creek No. 2","438","9","79","0"
"District 24 - Absentee","1430","65","414","0"
"District 24 - Early Voting","2729","92","439","0"
"District 24  - Question","104","4","30","0"
"Total","8051","264","1527","2"
