"1","Johnson","Write-in","Blank","Overvote"
"25-305 Butte","983","27","198","0"
"25-310 Greater Palmer","447","18","77","0"
"25-315 Lazy Mountain","606","19","163","0"
"25-320 Palmer City No. 1","450","16","85","0"
"25-325 Palmer City No. 2","444","15","103","0"
"25-330 Springer Loop","614","17","120","0"
"25-335 Walby","551","21","98","0"
"District 25 - Absentee","1027","68","384","0"
"District 25 - Early Voting","2720","135","570","1"
"District 25  - Question","78","4","26","0"
"Total","7920","340","1824","1"
