"1","Tilton","Write-in","Blank","Overvote"
"26-350 Fairview No. 1","428","12","57","1"
"26-355 Fairview No. 2","334","16","44","0"
"26-360 Knik Goose Bay No. 1","957","28","191","0"
"26-365 Knik Goose Bay No. 2","661","14","108","0"
"26-370 Knik Goose Bay No. 3","406","11","93","0"
"26-375 Mat-Su Campus","496","29","108","0"
"26-380 Snowshoe","837","23","127","0"
"District 26 - Absentee","910","47","308","0"
"District 26 - Early Voting","2304","75","319","0"
"District 26  - Question","92","1","25","0"
"Total","7425","256","1380","1"
