"1","Eastman","Eastman","Eastman","Eastman","Underwood","Underwood","Underwood","Underwood","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Overvote","Underwood","Write-in","","Eastman","Overvote","Write-in","","Eastman","Underwood","",""
"27-405 Foothills","230","0","84","1","229","98","0","1","8","2","0","63","0"
"27-410 Meadow Lakes No. 1","398","0","136","3","334","103","0","4","9","2","2","76","0"
"27-415 Meadow Lakes No. 2","315","1","106","2","271","100","0","4","8","0","0","88","1"
"27-420 Wasilla No. 1","215","0","79","1","248","120","0","5","5","0","2","67","0"
"27-425 Wasilla No. 2","249","0","98","1","363","129","0","2","9","0","0","92","0"
"District 27 - Absentee","434","0","132","4","316","123","1","6","20","3","1","154","0"
"District 27 - Early Voting","850","0","280","3","1008","322","0","16","22","2","2","235","0"
"District 27  - Question","26","0","20","0","39","19","0","0","1","0","1","22","0"
"Total","2717","1","935","15","2808","1014","1","38","82","9","8","797","1"
