"1","Moore","Wright","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","243","161","79","107","0"
"28-455 Lakes No. 2","153","118","46","89","0"
"28-460 Seldon No. 1","354","275","112","209","3"
"28-465 Seldon No. 2","340","272","130","208","0"
"28-470 Seward Meridian","138","106","50","108","1"
"28-475 Trunk","273","223","129","134","0"
"28-480 Wasilla Lake","129","129","53","84","0"
"District 28 - Absentee","459","339","216","280","0"
"District 28 - Early Voting","1210","834","341","654","6"
"District 28  - Question","39","38","21","21","1"
"Total","3338","2495","1177","1894","11"
