"1","Menard","Menard","Menard","Menard","Moore","Moore","Moore","Moore","Wright","Wright","Wright","Wright","Blank","Overvote"
"2","","Moore","Overvote","Wright","","Menard","Overvote","Wright","","Menard","Moore","Overvote","",""
"28-450 Lakes No. 1","107","22","0","35","138","40","0","43","70","30","26","0","79","0"
"28-455 Lakes No. 2","89","15","0","23","89","13","0","36","50","21","24","0","46","0"
"28-460 Seldon No. 1","209","34","0","38","226","44","0","50","171","42","24","0","112","3"
"28-465 Seldon No. 2","208","54","0","62","176","64","0","46","131","60","19","0","130","0"
"28-470 Seward Meridian","108","12","0","22","84","22","0","20","54","14","16","0","50","1"
"28-475 Trunk","134","21","0","45","151","43","1","57","100","41","37","0","129","0"
"28-480 Wasilla Lake","84","19","0","22","76","15","0","19","72","23","12","0","53","0"
"District 28 - Absentee","280","86","0","66","253","59","0","61","170","59","44","0","216","0"
"District 28 - Early Voting","654","142","3","159","767","147","0","154","417","150","107","1","341","3"
"District 28  - Question","21","4","0","9","22","7","0","6","20","4","5","0","21","1"
"Total","1894","409","3","481","1982","454","1","492","1255","444","314","1","1177","8"
