"1","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Moore","Moore","Moore","Moore","Moore","Moore","Moore","Moore","Moore","Moore","Moore","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Moore","Moore","Moore","Overvote","Wright","Wright","Wright","Write-in","Write-in","Write-in","","Menard","Menard","Menard","Overvote","Wright","Wright","Wright","Write-in","Write-in","Write-in","","Menard","Menard","Menard","Moore","Moore","Moore","Overvote","Write-in","Write-in","","Menard","Menard","Moore","Moore","Moore","Wright","Wright","Wright","",""
"3","","","Wright","Write-in","","","Moore","Overvote","","Moore","Wright","","","Wright","Write-in","","","Menard","Write-in","","Menard","Wright","","","Moore","Write-in","","Menard","Write-in","","","Menard","","","Moore","","Menard","Wright","","Menard","Moore","",""
"28-450 Lakes No. 1","107","5","16","1","0","10","25","0","0","0","0","138","11","29","0","0","17","24","0","0","0","2","70","2","27","0","6","19","0","0","0","0","5","0","0","0","0","0","0","1","1","74","0"
"28-455 Lakes No. 2","89","5","9","0","0","1","22","0","0","0","0","89","6","7","0","0","16","20","0","0","0","0","49","2","19","0","5","19","0","0","0","0","4","0","1","0","0","0","1","0","0","42","0"
"28-460 Seldon No. 1","208","13","18","0","0","9","29","0","0","2","0","225","14","29","0","0","18","32","0","0","0","0","171","12","30","0","8","15","0","0","0","0","3","1","1","1","1","0","0","0","1","109","3"
"28-465 Seldon No. 2","206","9","43","0","0","9","51","1","1","0","1","176","16","45","1","0","9","37","0","0","1","0","131","14","45","0","6","13","0","0","0","0","15","1","2","0","1","0","0","1","0","115","0"
"28-470 Seward Meridian","108","3","9","0","0","3","19","0","0","0","0","84","8","14","0","0","3","17","0","0","0","0","54","4","10","0","5","11","0","0","0","0","4","0","0","0","0","0","0","0","0","46","1"
"28-475 Trunk","134","8","13","0","0","7","38","0","0","0","0","150","11","30","0","1","18","38","0","1","1","0","100","4","35","1","14","22","1","0","0","1","12","0","0","0","1","1","0","0","0","117","0"
"28-480 Wasilla Lake","83","6","13","0","0","4","18","0","0","0","0","76","2","11","1","0","6","13","0","0","0","0","72","2","21","0","2","10","0","0","0","0","3","1","0","0","1","0","0","0","0","50","0"
"District 28 - Absentee","278","32","53","1","0","10","55","0","1","0","1","251","19","38","0","0","24","36","0","1","0","1","169","9","48","0","13","30","0","0","1","1","22","1","0","1","2","0","0","1","1","194","0"
"District 28 - Early Voting","653","47","95","0","3","39","119","0","1","0","1","760","46","101","0","0","59","92","2","6","0","0","416","34","113","1","32","75","0","1","1","0","18","0","0","1","0","1","0","2","0","323","3"
"District 28  - Question","21","0","4","0","0","0","9","0","0","0","0","22","3","4","0","0","1","5","0","0","0","0","20","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","21","1"
"Total","1887","128","273","2","3","92","385","1","3","2","3","1971","136","308","2","1","171","314","2","8","2","3","1252","83","351","2","91","219","1","1","2","2","86","4","4","3","6","2","1","6","3","1091","8"
