"1","Rauscher","Write-in","Blank"
"29-505 Farm Loop","815","26","136"
"29-510 Fishhook","1075","42","281"
"29-515 Kings Lake","707","14","164"
"29-520 Lakes No. 3","282","13","58"
"29-525 Sheep Mountain","133","0","17"
"29-530 Sutton","398","27","79"
"29-535 Valdez No. 1","363","10","102"
"29-540 Valdez No. 2","162","11","51"
"29-545 Valdez No. 3","274","23","82"
"District 29 - Absentee","1289","103","504"
"District 29 - Early Voting","2303","91","418"
"District 29  - Question","82","4","36"
"Total","7883","364","1928"
