"1","Story","Write-in","Blank"
"03-300 Auke Bay","356","16","112"
"03-305 Lynn Canal","319","13","99"
"03-310 Melvin Park","434","18","124"
"03-315 Mendenhall Glacier","626","58","240"
"03-320 Thunder Mountain","584","21","197"
"03-325 Gustavus","144","3","42"
"03-330 Haines No. 1","474","20","155"
"03-335 Haines No. 2","73","2","34"
"03-340 Klukwan","37","0","4"
"03-345 Skagway","333","5","74"
"District 3 - Absentee","1929","59","583"
"District 3 - Early Voting","2703","113","744"
"District 3  - Question","56","5","27"
"Total","8068","333","2435"
