"1","Holmes","McCabe","Blank","Overvote"
"30-550 Anderson/Clear","49","67","21","0"
"30-555 Big Lake","436","652","105","1"
"30-560 Cantwell","31","38","17","0"
"30-565 Denali Park","23","17","31","1"
"30-570 East Schrock","39","43","8","0"
"30-575 Healy","101","211","62","0"
"30-580 Houston","209","246","70","0"
"30-585 Knik Goose Bay No. 4","416","548","149","2"
"30-590 Trapper Creek","56","47","16","0"
"30-595 Susitna","241","205","51","0"
"30-600 Talkeetna","121","81","58","0"
"30-605 Willow","554","387","55","0"
"House District 30 - Judicial District 3","1454","1994","504","2"
"House District 30 - Judicial District 4","146","208","131","0"
"Total","3876","4744","1278","6"
