"1","Cottle","Cottle","Cottle","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Tomaszewski","Write-in","","Cottle","Overvote","Write-in","","Cottle","Overvote","Tomaszewski","",""
"34-235 Eielson","59","45","0","91","84","0","0","1","1","0","0","50","1"
"34-238 Eielson Farm Road","11","2","0","34","9","0","0","0","0","0","0","2","0"
"34-240 Farmers Loop","396","88","13","262","78","0","2","9","2","0","0","61","0"
"34-260 Salcha","83","37","0","293","80","0","3","2","0","0","0","36","2"
"34-263 Steele Creek","257","121","3","451","140","0","5","5","3","1","3","58","2"
"34-265 Steese","244","105","1","444","144","0","7","5","3","0","3","71","0"
"34-270 Summit","263","104","4","335","110","1","6","4","0","0","2","50","1"
"34-280 Two Rivers","123","40","1","226","72","0","3","3","0","0","0","35","0"
"District 34 - Absentee","473","144","9","518","172","0","8","10","0","0","3","158","0"
"District 34 - Early Voting","851","232","31","972","281","0","19","19","3","0","1","135","1"
"District 34  - Question","19","10","1","27","14","0","0","0","0","0","0","9","0"
"Total","2779","928","63","3653","1184","1","53","58","12","1","12","665","7"
