"1","Carrick","McNeill","Blank","Overvote"
"35-580 Airport","123","189","23","0"
"35-582 Chena","675","707","50","0"
"35-584 Ester","339","210","18","0"
"35-586 Geist","284","277","19","0"
"35-587 Lakeview","40","75","8","0"
"35-592 Shanly","230","185","17","0"
"35-595 University Hills","372","225","23","0"
"35-596 University West","612","639","39","1"
"District 35 - Absentee","785","477","57","1"
"District 35 - Early Voting","1545","1049","76","0"
"District 35  - Question","46","43","10","0"
"Total","5051","4076","340","2"
