"1","Carrick","Carrick","Carrick","McNeill","McNeill","McNeill","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","McNeill","Write-in","","Carrick","Write-in","","Carrick","McNeill","",""
"35-580 Airport","92","29","2","154","29","6","0","0","0","23","0"
"35-582 Chena","556","106","13","601","91","13","3","0","2","47","0"
"35-584 Ester","272","57","10","181","24","5","1","0","0","17","0"
"35-586 Geist","216","64","4","232","38","7","0","0","0","19","0"
"35-587 Lakeview","32","8","0","64","9","2","0","0","0","8","0"
"35-592 Shanly","181","46","3","147","37","1","1","0","0","16","0"
"35-595 University Hills","287","75","10","193","29","3","0","0","0","23","0"
"35-596 University West","458","144","10","509","120","9","4","0","1","35","1"
"District 35 - Absentee","674","100","9","410","47","17","2","2","3","55","1"
"District 35 - Early Voting","1286","228","29","939","94","16","1","2","0","75","0"
"District 35  - Question","39","7","0","35","7","1","1","0","0","9","0"
"Total","4093","864","90","3465","525","80","13","4","6","327","2"
