"1","Fields","Goode","Blank","Exhausted","Overvote"
"36-001 Goldstream No. 1","108","192","26","324","1"
"36-002 Goldstream No. 2","145","214","31","387","1"
"36-010 Allakaket","12","13","0","15","0"
"36-014 Anvik","4","13","0","8","0"
"36-018 Arctic Village","5","9","0","39","0"
"36-022 Beaver","5","3","0","8","1"
"36-026 Bettles","1","4","1","5","0"
"36-034 Central","8","12","3","18","0"
"36-038 Chistochina","4","22","3","41","1"
"36-042 Circle","6","4","3","7","0"
"36-046 Copper Center","70","102","8","173","1"
"36-050 Delta Junction","37","182","20","116","3"
"36-054 Deltana","92","699","44","362","1"
"36-058 Dot Lake","2","28","5","14","0"
"36-062 Eagle","8","26","6","29","0"
"36-066 Fort Yukon","21","23","11","84","1"
"36-070 Gakona","21","38","3","48","0"
"36-074 Galena","12","47","6","81","0"
"36-078 Glennallen","45","70","6","58","0"
"36-082 Grayling","13","28","1","10","3"
"36-086 Holy Cross","10","16","3","12","0"
"36-090 Hughes","5","6","1","18","0"
"36-094 Huslia","16","24","7","48","0"
"36-098 Kaltag","9","14","3","14","0"
"36-102 Kenny Lake","28","57","12","88","0"
"36-106 Koyukuk","3","10","2","14","0"
"36-110 Manley","2","19","2","24","0"
"36-114 McGrath","6","27","8","51","2"
"36-118 Mentasta","7","6","1","25","0"
"36-122 Minto","9","14","3","25","0"
"36-126 Nenana","33","129","18","134","0"
"36-130 Nikolai","4","10","3","10","0"
"36-134 Northway","9","29","5","28","0"
"36-138 Nulato","10","18","2","47","0"
"36-142 Ruby","2","8","1","19","0"
"36-146 Shageluk","7","10","1","5","0"
"36-162 Tanana","13","12","7","47","0"
"36-166 Tetlin","5","9","0","16","0"
"36-170 Tok","43","208","29","241","1"
"36-174 Venetie","8","10","1","26","0"
"House District 36 - Judicial District 3","111","203","31","316","2"
"House District 36 - Judicial District 4","320","893","114","1152","6"
"Total","1279","3461","431","4187","24"
