"1","Fields","Kowalski","Blank","Exhausted","Overvote"
"36-001 Goldstream No. 1","77","331","26","216","1"
"36-002 Goldstream No. 2","86","458","31","202","1"
"36-010 Allakaket","7","26","0","7","0"
"36-014 Anvik","5","10","0","10","0"
"36-018 Arctic Village","3","42","0","8","0"
"36-022 Beaver","3","12","0","1","1"
"36-026 Bettles","1","5","1","4","0"
"36-034 Central","7","8","3","23","0"
"36-038 Chistochina","5","12","3","50","1"
"36-042 Circle","3","8","3","6","0"
"36-046 Copper Center","80","80","8","185","1"
"36-050 Delta Junction","62","45","20","227","4"
"36-054 Deltana","162","143","44","848","1"
"36-058 Dot Lake","0","3","5","41","0"
"36-062 Eagle","6","19","6","38","0"
"36-066 Fort Yukon","19","74","11","34","2"
"36-070 Gakona","21","25","3","61","0"
"36-074 Galena","15","65","6","60","0"
"36-078 Glennallen","65","31","6","77","0"
"36-082 Grayling","16","14","1","22","2"
"36-086 Holy Cross","7","20","3","10","1"
"36-090 Hughes","3","16","1","10","0"
"36-094 Huslia","9","61","7","18","0"
"36-098 Kaltag","6","21","3","10","0"
"36-102 Kenny Lake","40","34","12","99","0"
"36-106 Koyukuk","3","18","2","6","0"
"36-110 Manley","1","13","2","31","0"
"36-114 McGrath","9","13","8","62","2"
"36-118 Mentasta","6","18","1","14","0"
"36-122 Minto","4","27","3","17","0"
"36-126 Nenana","39","102","18","155","0"
"36-130 Nikolai","4","11","3","9","0"
"36-134 Northway","15","25","5","25","1"
"36-138 Nulato","7","49","2","18","1"
"36-142 Ruby","1","15","1","13","0"
"36-146 Shageluk","7","12","1","3","0"
"36-162 Tanana","7","48","7","17","0"
"36-166 Tetlin","4","15","0","11","0"
"36-170 Tok","71","74","29","347","1"
"36-174 Venetie","5","27","1","12","0"
"House District 36 - Judicial District 3","110","204","31","316","2"
"House District 36 - Judicial District 4","281","1016","114","1065","9"
"Total","1282","3250","431","4388","31"
