"1","Goode","Schwanke","Blank","Exhausted","Overvote"
"36-001 Goldstream No. 1","141","230","26","253","1"
"36-002 Goldstream No. 2","179","208","31","359","1"
"36-010 Allakaket","13","7","0","20","0"
"36-014 Anvik","12","6","0","7","0"
"36-018 Arctic Village","10","2","0","41","0"
"36-022 Beaver","3","2","0","11","1"
"36-026 Bettles","2","5","1","3","0"
"36-034 Central","9","19","3","10","0"
"36-038 Chistochina","19","37","3","11","1"
"36-042 Circle","6","4","3","7","0"
"36-046 Copper Center","69","215","8","62","0"
"36-050 Delta Junction","151","161","20","24","2"
"36-054 Deltana","555","496","44","102","1"
"36-058 Dot Lake","21","22","5","1","0"
"36-062 Eagle","25","22","6","16","0"
"36-066 Fort Yukon","17","28","11","83","1"
"36-070 Gakona","35","47","3","25","0"
"36-074 Galena","31","58","6","51","0"
"36-078 Glennallen","52","94","6","27","0"
"36-082 Grayling","26","16","1","10","2"
"36-086 Holy Cross","14","14","3","9","1"
"36-090 Hughes","8","5","1","16","0"
"36-094 Huslia","24","11","7","53","0"
"36-098 Kaltag","17","5","3","15","0"
"36-102 Kenny Lake","35","109","12","29","0"
"36-106 Koyukuk","7","8","2","12","0"
"36-110 Manley","14","19","2","12","0"
"36-114 McGrath","16","59","8","9","2"
"36-118 Mentasta","7","15","1","16","0"
"36-122 Minto","15","15","3","18","0"
"36-126 Nenana","108","120","18","68","0"
"36-130 Nikolai","8","5","3","11","0"
"36-134 Northway","21","30","5","15","0"
"36-138 Nulato","18","11","2","46","0"
"36-142 Ruby","6","8","1","15","0"
"36-146 Shageluk","11","7","1","4","0"
"36-162 Tanana","13","11","7","48","0"
"36-166 Tetlin","7","11","0","12","0"
"36-170 Tok","145","300","29","47","1"
"36-174 Venetie","12","5","1","27","0"
"House District 36 - Judicial District 3","128","349","31","153","2"
"House District 36 - Judicial District 4","684","909","114","772","6"
"Total","2694","3705","431","2530","22"
