"1","Kowalski","Schwanke","Blank","Exhausted","Overvote"
"36-001 Goldstream No. 1","315","244","26","65","1"
"36-002 Goldstream No. 2","459","204","31","83","1"
"36-010 Allakaket","26","5","0","9","0"
"36-014 Anvik","9","7","0","9","0"
"36-018 Arctic Village","42","1","0","10","0"
"36-022 Beaver","12","1","0","3","1"
"36-026 Bettles","3","7","1","0","0"
"36-034 Central","8","20","3","10","0"
"36-038 Chistochina","12","40","3","15","1"
"36-042 Circle","9","2","3","6","0"
"36-046 Copper Center","77","231","8","38","0"
"36-050 Delta Junction","40","213","20","82","3"
"36-054 Deltana","128","649","44","376","1"
"36-058 Dot Lake","3","26","5","15","0"
"36-062 Eagle","19","27","6","17","0"
"36-066 Fort Yukon","71","25","11","31","2"
"36-070 Gakona","28","50","3","29","0"
"36-074 Galena","62","55","6","23","0"
"36-078 Glennallen","25","111","6","37","0"
"36-082 Grayling","15","15","1","21","3"
"36-086 Holy Cross","17","13","3","7","1"
"36-090 Hughes","16","4","1","9","0"
"36-094 Huslia","62","7","7","19","0"
"36-098 Kaltag","22","5","3","10","0"
"36-102 Kenny Lake","30","119","12","24","0"
"36-106 Koyukuk","17","6","2","4","0"
"36-110 Manley","13","19","2","13","0"
"36-114 McGrath","14","57","8","13","2"
"36-118 Mentasta","19","15","1","4","0"
"36-122 Minto","27","13","3","8","0"
"36-126 Nenana","103","132","18","61","0"
"36-130 Nikolai","10","6","3","8","0"
"36-134 Northway","25","32","5","8","1"
"36-138 Nulato","48","8","2","18","1"
"36-142 Ruby","15","8","1","6","0"
"36-146 Shageluk","13","6","1","3","0"
"36-162 Tanana","48","10","7","14","0"
"36-166 Tetlin","15","9","0","6","0"
"36-170 Tok","58","337","29","97","1"
"36-174 Venetie","27","5","1","12","0"
"House District 36 - Judicial District 3","202","347","31","81","2"
"House District 36 - Judicial District 4","991","979","114","394","7"
"Total","3155","4070","431","1698","28"
