"1","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Blank","Overvote"
"2","","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Overvote","",""
"3","","","Kowalski","Overvote","Schwanke","","Goode","Schwanke","","","Goode","Kowalski","","","Kowalski","Overvote","Schwanke","","Fields","Schwanke","","","Fields","Kowalski","Overvote","","","Goode","Overvote","Schwanke","","Fields","Schwanke","","Fields","Goode","","","Goode","Kowalski","Overvote","","Fields","Kowalski","Overvote","","Fields","Goode","Overvote","","",""
"36-001 Goldstream No. 1","13","2","2","0","7","1","0","1","0","1","7","0","48","2","1","0","3","0","2","0","0","28","14","2","0","209","30","13","0","19","7","6","4","12","6","2","96","2","3","0","0","44","18","7","0","7","1","4","0","0","26","1"
"36-002 Goldstream No. 2","14","5","2","0","2","4","6","0","0","1","4","0","63","1","1","0","2","0","4","0","0","33","13","1","0","294","47","22","0","23","10","7","7","18","5","9","72","3","2","2","0","34","24","3","0","3","3","2","0","0","31","1"
"36-010 Allakaket","3","0","0","0","0","0","1","0","0","0","0","1","6","0","0","0","0","0","1","0","0","0","0","0","0","14","3","2","0","0","0","2","1","0","1","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"36-014 Anvik","2","0","0","0","0","0","1","0","0","0","0","0","7","0","1","0","0","0","1","0","0","0","0","2","0","5","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"36-018 Arctic Village","3","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","38","0","1","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-022 Beaver","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-026 Bettles","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0"
"36-034 Central","4","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","3","0","0","0","5","1","0","0","1","0","0","0","1","0","0","12","1","0","0","0","2","1","0","0","0","0","0","0","0","3","0"
"36-038 Chistochina","1","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","1","0","0","4","0","0","0","10","0","0","0","0","0","0","0","1","0","0","30","1","2","0","0","2","1","0","0","0","0","0","0","0","3","1"
"36-042 Circle","2","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","1","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-046 Copper Center","19","1","3","0","3","0","5","0","0","3","0","3","17","1","0","0","1","1","2","0","0","14","8","1","0","42","1","4","0","4","0","3","5","4","2","1","125","8","7","5","0","29","13","3","0","2","2","3","0","1","8","0"
"36-050 Delta Junction","4","1","0","1","2","0","0","1","0","1","5","1","76","1","2","0","6","2","1","2","0","29","19","4","1","18","2","1","0","3","0","2","1","2","3","0","94","4","8","0","0","28","6","0","0","2","0","2","0","1","20","2"
"36-054 Deltana","27","4","1","0","3","0","3","2","0","2","7","2","337","8","4","0","6","1","2","4","0","120","43","5","0","71","4","4","0","7","4","3","3","8","3","4","276","11","3","8","0","115","28","9","0","7","1","3","0","0","44","1"
"36-058 Dot Lake","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","5","0","0","0","1","0","1","0","0","0","0","0","0","1","0","13","0","0","0","0","8","0","0","0","0","0","0","0","0","5","0"
"36-062 Eagle","1","0","0","0","0","1","0","0","0","0","0","0","16","0","0","0","1","0","0","0","0","4","0","1","0","13","1","2","0","0","0","1","0","1","0","0","15","2","1","0","0","3","0","0","0","0","0","0","0","0","6","0"
"36-066 Fort Yukon","17","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","1","0","0","0","1","0","0","0","0","65","1","0","0","1","0","1","0","1","2","0","18","0","0","0","0","2","1","2","0","0","0","1","0","0","11","1"
"36-070 Gakona","8","1","1","0","0","1","1","0","0","0","1","0","19","1","0","0","0","0","1","2","0","4","1","0","0","15","1","1","0","1","1","2","0","1","0","0","32","3","1","1","0","6","1","0","0","0","0","0","0","0","3","0"
"36-074 Galena","3","0","0","0","0","0","1","0","0","0","1","0","20","0","1","0","0","0","3","0","0","1","3","0","0","47","1","0","0","2","0","2","0","2","1","2","32","0","1","2","0","7","3","3","0","0","0","2","0","0","6","0"
"36-078 Glennallen","14","2","0","0","2","1","0","0","0","3","2","0","19","2","0","0","3","2","1","1","0","7","8","1","0","10","2","1","0","0","0","2","1","3","1","0","45","3","9","4","0","6","12","2","0","0","1","3","0","0","6","0"
"36-082 Grayling","5","0","0","0","0","0","2","1","0","0","0","0","16","0","1","1","1","0","1","1","0","0","1","0","0","5","0","1","0","0","0","1","0","0","1","1","5","0","0","2","1","1","1","0","0","0","0","2","1","0","1","2"
"36-086 Holy Cross","2","0","0","0","0","0","0","0","0","0","0","0","5","0","2","0","0","0","1","0","1","0","1","1","0","7","0","1","1","2","0","2","0","0","1","0","5","0","0","2","0","0","0","2","0","0","1","1","0","0","3","0"
