"1","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","","Fields","Fields","Fields","Fields","Fields","Fields","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Overvote","Write-in","Write-in","","Goode","Goode","Kowalski","Schwanke","Schwanke","",""
"3","","","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","","Goode","Goode","Schwanke","Schwanke","Write-in","","","Goode","Goode","Kowalski","Write-in","Goode","Kowalski","Schwanke","","","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","","Fields","Fields","Schwanke","Schwanke","Schwanke","Write-in","Write-in","","","Fields","Fields","Fields","Fields","Kowalski","Kowalski","Overvote","Write-in","Write-in","Write-in","","Fields","Schwanke","","","Goode","Goode","Overvote","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","","Fields","Fields","Schwanke","Schwanke","Write-in","","Fields","Fields","Fields","Goode","Goode","Goode","Write-in","","Fields","Fields","Fields","Goode","Goode","Schwanke","Schwanke","","","Goode","Goode","Kowalski","Kowalski","Kowalski","Overvote","Write-in","Write-in","","Fields","Fields","Fields","Fields","Kowalski","Kowalski","Overvote","Write-in","Write-in","Write-in","","Fields","Fields","Goode","Goode","Overvote","Write-in","","","Goode","","Kowalski","Schwanke","Fields","Fields","Goode","",""
"4","","","","Schwanke","","","Kowalski","","","Schwanke","","Goode","Goode","","","","Kowalski","Goode","Goode","Schwanke","Goode","Goode","","","","Schwanke","","","Kowalski","","","Schwanke","","Fields","Write-in","","Fields","","","","Kowalski","Overvote","Write-in","","Fields","","","Fields","Kowalski","","Kowalski","Fields","","","","Schwanke","","","Goode","Write-in","","Goode","Schwanke","","","Schwanke","","Fields","","","","Goode","Write-in","","Fields","Overvote","","","","Goode","Schwanke","Fields","Schwanke","Fields","Goode","","","","Kowalski","","Goode","Write-in","","","Goode","","","Kowalski","Overvote","Write-in","","Fields","","Fields","Kowalski","Overvote","","","Goode","","Fields","","Fields","","","Fields","","Fields","Fields","Schwanke","Kowalski","","",""
"36-001 Goldstream No. 1","13","2","0","2","0","6","1","1","0","0","1","0","0","0","1","5","2","0","0","0","0","0","47","2","0","1","0","2","1","0","1","1","0","0","0","0","0","0","28","8","4","0","1","0","2","0","0","0","0","1","0","0","208","30","2","11","0","1","18","0","0","0","0","7","0","6","3","1","0","12","1","4","1","0","2","0","0","1","0","0","0","0","0","0","0","96","2","0","3","0","0","0","0","0","0","44","7","9","0","1","2","5","0","0","0","0","7","0","0","2","2","0","1","0","0","1","0","0","1","0","0","0","26","1"
"36-002 Goldstream No. 2","14","5","0","2","0","2","0","4","1","4","0","0","1","0","1","3","1","0","0","0","0","0","63","1","1","0","0","2","0","0","0","3","0","0","0","0","1","0","33","7","5","0","1","1","0","0","0","0","0","0","0","0","293","46","4","17","0","3","20","0","1","1","0","10","2","5","3","4","0","18","1","3","0","3","6","0","0","1","0","0","0","0","0","1","0","72","3","1","1","0","2","0","0","0","0","34","12","12","0","0","0","3","0","0","0","0","3","2","1","1","1","0","0","0","0","0","1","0","0","0","0","0","30","1"
"36-010 Allakaket","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","3","0","2","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-014 Anvik","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-018 Arctic Village","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-022 Beaver","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-026 Bettles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
