"1","Deacon","Edgmon","Blank","Overvote"
"37-700 Akutan","11","31","7","0"
"37-702 Aleknagik","8","55","5","1"
"37-704 Aleutians No. 1","5","11","3","0"
"37-706 Aleutians No. 2","119","317","97","1"
"37-707 Aniak","71","32","4","0"
"37-708 Chignik","4","12","0","0"
"37-709 Chuathbaluk","14","5","0","0"
"37-710 Clark's Point","4","15","0","0"
"37-712 Cold Bay","6","11","3","0"
"37-713 Crooked Creek","13","6","0","0"
"37-714 Dillingham","113","397","40","0"
"37-716 Egegik","2","7","2","0"
"37-718 Ekwok","7","23","4","0"
"37-719 Goodnews Bay","17","38","3","0"
"37-720 King Cove","26","70","14","1"
"37-722 King Salmon","26","85","17","0"
"37-724 Koliganek","4","62","6","0"
"37-726 Lake Iliamna No. 1","24","72","7","0"
"37-728 Lake Iliamna No. 2","23","51","4","0"
"37-730 Levelock","6","17","1","0"
"37-731 Lower Kalskag","53","6","2","0"
"37-732 Manokotak","21","77","5","1"
"37-734 Naknek","25","101","16","0"
"37-736 New Stuyahok","8","43","2","0"
"37-738 Nondalton","10","31","1","2"
"37-740 Pedro Bay","4","9","1","0"
"37-742 Port Heiden","5","18","1","0"
"37-744 Sand Point","17","95","11","0"
"37-746 Sleetmute","10","14","0","0"
"37-748 South Naknek","1","15","2","0"
"37-750 St. George Island","2","5","0","0"
"37-752 St. Paul Island","16","85","6","0"
"37-754 Togiak","33","106","6","4"
"37-756 Tyonek","14","18","5","0"
"37-758 Upper Kalskag","38","15","3","1"
"House District 37 - Judicial District 3","215","702","158","0"
"House District 37 - Judicial District 4","42","109","14","0"
"Total","1017","2766","450","11"
