"1","Deacon","Deacon","Deacon","Edgmon","Edgmon","Edgmon","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Edgmon","Write-in","","Deacon","Write-in","","Deacon","Edgmon","Overvote","",""
"37-700 Akutan","9","2","0","23","8","0","0","0","0","0","7","0"
"37-702 Aleknagik","3","4","1","36","16","3","1","0","0","0","4","1"
"37-704 Aleutians No. 1","4","1","0","10","1","0","0","0","0","0","3","0"
"37-706 Aleutians No. 2","90","27","0","279","36","2","2","2","0","0","95","1"
"37-707 Aniak","46","25","0","22","10","0","0","0","0","0","4","0"
"37-708 Chignik","4","0","0","6","6","0","0","0","0","0","0","0"
"37-709 Chuathbaluk","8","6","0","2","3","0","0","0","0","0","0","0"
"37-710 Clark's Point","1","3","0","9","6","0","0","0","0","0","0","0"
"37-712 Cold Bay","6","0","0","10","1","0","0","0","0","0","3","0"
"37-713 Crooked Creek","12","1","0","3","3","0","0","0","0","0","0","0"
"37-714 Dillingham","79","33","0","313","83","0","6","1","1","0","34","0"
"37-716 Egegik","2","0","0","5","2","0","0","0","0","0","2","0"
"37-718 Ekwok","2","5","0","19","4","0","0","0","0","0","4","0"
"37-719 Goodnews Bay","7","10","0","9","29","0","0","0","0","0","3","0"
"37-720 King Cove","21","5","0","58","12","0","0","0","0","0","14","1"
"37-722 King Salmon","23","3","0","67","18","0","3","0","0","0","14","0"
"37-724 Koliganek","3","1","0","48","14","0","0","0","0","0","6","0"
"37-726 Lake Iliamna No. 1","16","8","0","50","21","1","1","0","0","0","6","0"
"37-728 Lake Iliamna No. 2","15","8","0","31","20","0","0","0","0","0","4","0"
"37-730 Levelock","3","2","0","16","1","0","0","1","0","0","1","0"
"37-731 Lower Kalskag","23","30","0","3","3","0","0","0","0","0","2","0"
"37-732 Manokotak","14","7","0","46","30","0","1","0","1","0","4","1"
"37-734 Naknek","17","6","2","83","18","0","1","0","0","0","15","0"
"37-736 New Stuyahok","8","0","0","43","0","0","0","0","0","0","2","0"
"37-738 Nondalton","6","4","0","18","13","0","0","0","0","1","1","1"
"37-740 Pedro Bay","3","1","0","9","0","0","0","0","0","0","1","0"
"37-742 Port Heiden","3","2","0","16","2","0","0","0","0","0","1","0"
"37-744 Sand Point","13","4","0","88","7","0","2","0","0","0","9","0"
"37-746 Sleetmute","4","6","0","7","7","0","0","0","0","0","0","0"
"37-748 South Naknek","1","0","0","10","5","0","0","0","0","0","2","0"
"37-750 St. George Island","0","2","0","3","1","0","0","0","1","0","0","0"
"37-752 St. Paul Island","11","5","0","67","18","0","0","0","0","0","6","0"
"37-754 Togiak","16","17","0","54","51","1","1","0","0","0","5","4"
"37-756 Tyonek","13","1","0","15","3","0","0","0","0","0","5","0"
"37-758 Upper Kalskag","23","15","0","11","3","1","0","0","0","0","3","1"
"House District 37 - Judicial District 3","132","81","2","526","168","6","9","0","2","0","149","0"
"House District 37 - Judicial District 4","30","11","0","85","23","0","1","1","1","0","13","0"
"Total","671","336","5","2100","646","14","28","5","6","1","422","10"
