"1","Jimmie","Keppel","Blank","Exhausted","Overvote"
"38-800 Akiachak","68","56","2","33","2"
"38-802 Akiak","22","34","3","30","1"
"38-806 Atmautluak","21","14","0","9","1"
"38-808 Bethel No. 1","210","197","21","151","2"
"38-810 Bethel No. 2","204","207","14","142","8"
"38-812 Chefornak","80","8","1","7","0"
"38-818 Eek","46","37","1","11","0"
"38-822 Kasigluk","35","20","1","9","0"
"38-824 Kipnuk","79","21","0","7","6"
"38-826 Kongiganak","46","30","5","11","2"
"38-828 Kwethluk","69","44","4","16","0"
"38-830 Kwigillingok","47","27","2","3","2"
"38-836 Mekoryuk","38","16","1","13","1"
"38-838 Napakiak","30","31","3","7","0"
"38-840 Napaskiak","44","17","0","5","2"
"38-842 Newtok","42","10","2","0","2"
"38-844 Nightmute","25","7","0","0","2"
"38-846 Nunapitchuk","56","33","1","8","0"
"38-848 Quinhagak","56","52","2","22","2"
"38-852 Toksook Bay","127","35","6","7","5"
"38-854 Tuluksak","3","0","0","0","0"
"38-856 Tuntutuliak","70","40","2","4","1"
"38-858 Tununak","67","13","0","1","0"
"District 38 - Absentee","221","134","14","144","2"
"District 38 - Early Voting","16","5","2","7","0"
"District 38  - Question","52","41","8","17","4"
"Total","1774","1129","95","664","45"
