"1","Jimmie","Sosa","Blank","Exhausted","Overvote"
"38-800 Akiachak","77","12","2","67","3"
"38-802 Akiak","29","12","3","46","0"
"38-806 Atmautluak","22","4","0","18","1"
"38-808 Bethel No. 1","241","79","21","236","4"
"38-810 Bethel No. 2","231","85","14","238","7"
"38-812 Chefornak","81","3","1","11","0"
"38-818 Eek","53","5","1","35","1"
"38-822 Kasigluk","44","6","1","14","0"
"38-824 Kipnuk","77","10","0","21","5"
"38-826 Kongiganak","58","14","5","15","2"
"38-828 Kwethluk","75","28","4","26","0"
"38-830 Kwigillingok","55","7","2","15","2"
"38-836 Mekoryuk","41","5","1","21","1"
"38-838 Napakiak","38","9","3","21","0"
"38-840 Napaskiak","53","6","0","7","2"
"38-842 Newtok","44","6","2","2","2"
"38-844 Nightmute","26","2","0","4","2"
"38-846 Nunapitchuk","66","3","1","28","0"
"38-848 Quinhagak","65","16","2","49","2"
"38-852 Toksook Bay","139","14","6","17","4"
"38-854 Tuluksak","3","0","0","0","0"
"38-856 Tuntutuliak","88","8","2","16","3"
"38-858 Tununak","69","6","0","6","0"
"District 38 - Absentee","220","79","14","199","3"
"District 38 - Early Voting","14","5","2","9","0"
"District 38  - Question","62","10","8","36","6"
"Total","1971","434","95","1157","50"
