"1","Keppel","McCormick","Blank","Exhausted","Overvote"
"38-800 Akiachak","55","66","2","38","0"
"38-802 Akiak","37","26","3","24","0"
"38-806 Atmautluak","15","11","0","17","2"
"38-808 Bethel No. 1","178","316","21","63","3"
"38-810 Bethel No. 2","175","329","14","51","6"
"38-812 Chefornak","16","18","1","61","0"
"38-818 Eek","37","24","1","33","0"
"38-822 Kasigluk","23","22","1","18","1"
"38-824 Kipnuk","27","36","0","44","6"
"38-826 Kongiganak","32","40","5","14","3"
"38-828 Kwethluk","56","52","4","21","0"
"38-830 Kwigillingok","37","18","2","23","1"
"38-836 Mekoryuk","14","36","1","17","1"
"38-838 Napakiak","37","12","3","19","0"
"38-840 Napaskiak","20","31","0","15","2"
"38-842 Newtok","25","18","2","8","3"
"38-844 Nightmute","8","6","0","18","2"
"38-846 Nunapitchuk","44","24","1","29","0"
"38-848 Quinhagak","55","46","2","29","2"
"38-852 Toksook Bay","51","67","6","50","6"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","56","28","2","30","1"
"38-858 Tununak","32","21","0","27","1"
"District 38 - Absentee","132","310","14","57","2"
"District 38 - Early Voting","4","22","2","2","0"
"District 38  - Question","44","42","8","23","5"
"Total","1211","1622","95","732","47"
