"1","Keppel","Sosa","Blank","Exhausted","Overvote"
"38-800 Akiachak","65","20","2","72","2"
"38-802 Akiak","38","13","3","36","0"
"38-806 Atmautluak","17","4","0","22","2"
"38-808 Bethel No. 1","224","122","21","211","3"
"38-810 Bethel No. 2","225","134","14","195","7"
"38-812 Chefornak","20","10","1","64","1"
"38-818 Eek","40","9","1","45","0"
"38-822 Kasigluk","27","12","1","24","1"
"38-824 Kipnuk","36","18","0","53","6"
"38-826 Kongiganak","43","24","5","19","3"
"38-828 Kwethluk","62","38","4","29","0"
"38-830 Kwigillingok","39","12","2","26","2"
"38-836 Mekoryuk","21","16","1","29","2"
"38-838 Napakiak","34","12","3","22","0"
"38-840 Napaskiak","41","6","0","19","2"
"38-842 Newtok","30","13","2","8","3"
"38-844 Nightmute","7","5","0","19","3"
"38-846 Nunapitchuk","47","13","1","37","0"
"38-848 Quinhagak","56","34","2","40","2"
"38-852 Toksook Bay","57","59","6","53","5"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","62","19","2","33","1"
"38-858 Tununak","32","20","0","28","1"
"District 38 - Absentee","163","118","14","218","2"
"District 38 - Early Voting","8","8","2","12","0"
"District 38  - Question","51","24","8","34","5"
"Total","1446","764","95","1349","53"
