"1","McCormick","Sosa","Blank","Exhausted","Overvote"
"38-800 Akiachak","75","16","2","67","1"
"38-802 Akiak","35","13","3","39","0"
"38-806 Atmautluak","11","5","0","27","2"
"38-808 Bethel No. 1","347","59","21","149","5"
"38-810 Bethel No. 2","345","69","14","142","5"
"38-812 Chefornak","21","9","1","65","0"
"38-818 Eek","26","10","1","57","1"
"38-822 Kasigluk","26","14","1","23","1"
"38-824 Kipnuk","38","13","0","56","6"
"38-826 Kongiganak","49","19","5","18","3"
"38-828 Kwethluk","69","30","4","30","0"
"38-830 Kwigillingok","27","17","2","34","1"
"38-836 Mekoryuk","38","6","1","23","1"
"38-838 Napakiak","21","12","3","34","1"
"38-840 Napaskiak","43","6","0","17","2"
"38-842 Newtok","22","19","2","10","3"
"38-844 Nightmute","6","4","0","22","2"
"38-846 Nunapitchuk","28","16","1","52","1"
"38-848 Quinhagak","54","23","2","53","2"
"38-852 Toksook Bay","66","43","6","60","5"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","48","15","2","48","4"
"38-858 Tununak","28","21","0","31","1"
"District 38 - Absentee","315","67","14","116","3"
"District 38 - Early Voting","21","4","2","3","0"
"District 38  - Question","49","17","8","41","7"
"Total","1809","528","95","1218","57"
