"1","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Blank","Overvote"
"2","","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","Overvote","Sosa","Sosa","Sosa","","Jimmie","Jimmie","Jimmie","Jimmie","McCormick","McCormick","McCormick","Overvote","Sosa","Sosa","Sosa","","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Overvote","Sosa","Sosa","Sosa","","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","Overvote","",""
"3","","","McCormick","Overvote","Sosa","","Keppel","Overvote","Sosa","","","Keppel","McCormick","","","McCormick","Overvote","Sosa","","Jimmie","Sosa","","","Jimmie","McCormick","","","Keppel","Sosa","","Jimmie","Overvote","Sosa","","","Jimmie","Keppel","","","Keppel","McCormick","","Jimmie","McCormick","","Jimmie","Keppel","Overvote","","",""
"38-800 Akiachak","35","0","4","0","1","1","5","0","3","0","2","3","1","32","0","3","0","3","0","4","1","1","0","0","1","32","4","2","2","3","4","0","1","2","0","3","1","1","0","0","2","0","0","2","0","0","0","0","0","2","0"
"38-802 Akiak","15","0","2","0","2","0","0","0","0","0","0","0","0","24","0","1","0","0","0","7","0","0","0","0","0","21","0","0","1","1","1","0","0","0","0","1","0","9","0","1","0","0","0","0","0","0","0","1","0","3","0"
"38-806 Atmautluak","15","1","0","0","1","0","1","0","0","1","0","0","2","11","0","1","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1"
"38-808 Bethel No. 1","51","3","13","0","1","5","10","0","10","1","1","2","4","91","4","5","0","8","6","23","2","2","0","9","1","132","23","15","46","7","16","0","8","0","6","14","6","11","0","3","4","1","3","1","2","4","4","0","0","21","2"
"38-810 Bethel No. 2","37","1","5","0","3","9","14","0","20","0","4","4","10","98","6","8","0","9","8","14","1","0","0","9","3","122","27","12","30","10","18","0","6","2","11","19","9","9","1","2","2","1","1","2","0","4","4","0","1","14","5"
"38-812 Chefornak","59","0","6","0","2","0","5","1","2","0","0","2","3","6","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38-818 Eek","33","1","0","0","1","0","0","0","0","0","0","1","2","21","2","1","0","3","0","4","1","1","1","0","0","11","1","1","3","3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"38-822 Kasigluk","16","0","1","0","3","0","3","0","4","1","1","2","3","6","1","1","0","2","0","5","0","0","0","2","0","8","0","0","1","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38-824 Kipnuk","43","0","4","0","1","2","5","0","6","1","1","0","3","13","0","0","0","1","1","1","1","0","0","4","0","7","1","5","3","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","1","0","0","5"
"38-826 Kongiganak","11","0","4","0","5","0","1","0","6","1","0","0","3","7","0","8","0","1","0","4","1","0","0","1","1","8","0","4","5","0","5","0","1","0","0","2","0","3","0","0","4","0","0","0","0","0","1","0","0","5","2"
"38-828 Kwethluk","16","0","5","0","5","1","5","0","4","0","0","5","4","14","0","2","0","1","1","9","6","0","0","0","2","11","1","7","7","0","3","0","2","0","0","4","1","5","0","3","1","0","1","2","0","1","0","0","0","4","0"
