"1","Foster","Ivanoff","Blank","Overvote"
"39-900 Alakanuk","59","25","2","1"
"39-902 Brevig Mission","39","63","0","0"
"39-906 Diomede","7","3","0","0"
"39-908 Elim","27","76","0","0"
"39-910 Emmonak","90","54","4","0"
"39-912 Gambell","61","77","8","0"
"39-914 Golovin","27","21","1","0"
"39-916 Hooper Bay","97","63","6","1"
"39-918 Kotlik","67","41","1","0"
"39-920 Koyuk","47","52","1","0"
"39-921 Marshall","60","22","4","0"
"39-922 Mountain Village","87","43","1","1"
"39-924 Nome No. 1","194","92","17","0"
"39-926 Nome No. 2","369","192","19","0"
"39-928 Nunam Iqua","22","15","0","0"
"39-930 Pilot Station","70","21","1","2"
"39-931 Russian Mission","41","16","2","0"
"39-932 Savoonga","67","89","2","1"
"39-934 Scammon Bay","69","36","1","2"
"39-936 Shaktoolik","20","34","2","1"
"39-938 Shishmaref","61","111","2","1"
"39-940 St. Mary's","56","59","2","0"
"39-942 St. Michael","36","27","1","1"
"39-944 Stebbins","31","38","3","1"
"39-946 Teller","12","23","1","0"
"39-948 Unalakleet","91","126","4","0"
"39-950 Wales","4","4","0","0"
"39-952 White Mountain","45","24","0","0"
"House District 39 - Judicial District 2","450","190","42","2"
"House District 39 - Judicial District 4","46","43","1","1"
"Total","2352","1680","128","15"
