"1","Baker","Burke","Blank","Exhausted","Overvote"
"40-002 Ambler","26","7","1","10","0"
"40-004 Anaktuvuk Pass","16","39","2","1","0"
"40-006 Atqasuk","9","26","0","1","1"
"40-008 Utqiagvik","39","183","14","13","0"
"40-010 Browerville","85","505","16","38","3"
"40-012 Buckland","38","22","1","19","4"
"40-014 Deering","18","14","0","4","1"
"40-016 Kaktovik","17","46","5","5","0"
"40-018 Kiana","26","6","3","25","0"
"40-020 Kivalina","29","18","1","14","0"
"40-022 Kobuk","8","6","2","21","1"
"40-024 Kotzebue","187","239","12","133","3"
"40-026 Noatak","42","42","3","17","1"
"40-028 Noorvik","44","34","3","15","0"
"40-030 Nuiqsut","9","31","2","2","0"
"40-032 Point Hope","37","58","5","20","0"
"40-034 Point Lay","11","15","3","1","0"
"40-036 Selawik","46","12","5","15","0"
"40-038 Shungnak","33","11","1","5","0"
"40-040 Wainwright","40","71","7","8","3"
"District 40 - Absentee","122","228","23","48","0"
"District 40 - Early Voting","15","20","4","7","0"
"District 40  - Question","21","53","4","9","1"
"Total","918","1686","117","431","18"
