"1","Baker","Chase","Blank","Exhausted","Overvote"
"40-002 Ambler","18","23","1","2","0"
"40-004 Anaktuvuk Pass","19","11","2","26","0"
"40-006 Atqasuk","17","5","0","14","1"
"40-008 Utqiagvik","66","63","14","105","1"
"40-010 Browerville","173","202","16","253","3"
"40-012 Buckland","30","48","1","4","1"
"40-014 Deering","12","22","0","2","1"
"40-016 Kaktovik","18","12","5","38","0"
"40-018 Kiana","26","25","3","6","0"
"40-020 Kivalina","25","23","1","13","0"
"40-022 Kobuk","7","26","2","2","1"
"40-024 Kotzebue","155","353","12","52","2"
"40-026 Noatak","39","50","3","12","1"
"40-028 Noorvik","40","36","3","17","0"
"40-030 Nuiqsut","13","7","2","21","1"
"40-032 Point Hope","38","21","5","56","0"
"40-034 Point Lay","15","9","3","3","0"
"40-036 Selawik","38","33","5","2","0"
"40-038 Shungnak","28","18","1","3","0"
"40-040 Wainwright","50","24","7","46","2"
"District 40 - Absentee","138","173","23","87","0"
"District 40 - Early Voting","14","18","4","10","0"
"District 40  - Question","28","25","4","31","0"
"Total","1007","1227","117","805","14"
