"1","Burke","Chase","Blank","Exhausted","Overvote"
"40-002 Ambler","5","27","1","11","0"
"40-004 Anaktuvuk Pass","38","8","2","10","0"
"40-006 Atqasuk","26","3","0","7","1"
"40-008 Utqiagvik","183","33","14","19","0"
"40-010 Browerville","487","98","16","42","4"
"40-012 Buckland","18","49","1","15","1"
"40-014 Deering","12","21","0","3","1"
"40-016 Kaktovik","46","8","5","14","0"
"40-018 Kiana","6","25","3","26","0"
"40-020 Kivalina","18","26","1","17","0"
"40-022 Kobuk","5","25","2","5","1"
"40-024 Kotzebue","175","327","12","58","2"
"40-026 Noatak","33","47","3","20","2"
"40-028 Noorvik","27","40","3","26","0"
"40-030 Nuiqsut","30","4","2","8","0"
"40-032 Point Hope","58","21","5","36","0"
"40-034 Point Lay","14","7","3","6","0"
"40-036 Selawik","9","41","5","23","0"
"40-038 Shungnak","8","20","1","20","1"
"40-040 Wainwright","78","17","7","25","2"
"District 40 - Absentee","197","121","23","80","0"
"District 40 - Early Voting","16","18","4","8","0"
"District 40  - Question","52","22","4","10","0"
"Total","1541","1008","117","489","15"
