"1","Baker","Baker","Baker","Baker","Burke","Burke","Burke","Burke","Chase","Chase","Chase","Chase","Blank","Overvote"
"2","","Burke","Chase","Overvote","","Baker","Chase","Overvote","","Baker","Burke","Overvote","",""
"40-002 Ambler","11","2","4","0","2","1","0","0","10","9","4","0","1","0"
"40-004 Anaktuvuk Pass","10","2","2","0","26","5","5","0","1","2","3","0","2","0"
"40-006 Atqasuk","7","1","1","0","14","8","3","0","1","0","1","0","0","1"
"40-008 Utqiagvik","19","9","6","0","105","32","36","1","13","5","9","0","14","0"
"40-010 Browerville","42","11","16","1","253","103","120","0","38","15","29","0","16","3"
"40-012 Buckland","15","8","2","0","4","5","1","0","19","13","12","3","1","1"
"40-014 Deering","3","5","3","0","2","1","4","0","4","7","7","0","0","1"
"40-016 Kaktovik","14","0","2","0","38","2","6","0","5","1","0","0","5","0"
"40-018 Kiana","26","0","0","0","6","0","0","0","25","0","0","0","3","0"
"40-020 Kivalina","17","2","6","0","13","0","3","0","14","4","2","0","1","0"
"40-022 Kobuk","5","0","1","0","2","1","2","0","21","2","1","0","2","1"
"40-024 Kotzebue","58","32","37","1","52","27","63","1","133","59","96","2","12","1"
"40-026 Noatak","20","5","6","1","12","7","9","0","17","10","14","0","3","1"
"40-028 Noorvik","26","3","8","0","17","3","4","0","15","7","10","0","3","0"
"40-030 Nuiqsut","8","0","1","0","21","4","4","1","2","0","1","0","2","0"
"40-032 Point Hope","36","0","0","0","56","2","0","0","20","1","0","0","5","0"
"40-034 Point Lay","6","2","2","0","3","5","4","0","1","1","3","0","3","0"
"40-036 Selawik","23","5","9","0","2","1","1","0","15","9","8","0","5","0"
"40-038 Shungnak","20","0","4","1","3","3","2","0","5","8","3","0","1","0"
"40-040 Wainwright","25","9","3","0","46","13","10","0","8","3","2","1","7","2"
"District 40 - Absentee","80","15","14","0","87","29","66","0","48","13","46","0","23","0"
"District 40 - Early Voting","8","0","2","0","10","4","2","0","7","5","4","0","4","0"
"District 40  - Question","10","5","5","0","31","8","8","0","9","1","6","1","4","0"
"Total","489","116","134","4","805","264","353","3","431","175","261","7","117","11"
