"1","Radner","Stutes","Blank","Overvote"
"05-800 Chiniak","17","36","1","0"
"05-810 Flats","133","394","35","0"
"05-815 Kodiak Island South","1","15","1","0"
"05-820 Kodiak No. 1","118","484","46","1"
"05-825 Kodiak No. 2","150","494","51","1"
"05-830 Mission Road","329","984","95","0"
"05-835 Old Harbor","7","21","2","0"
"05-840 Ouzinkie","14","39","4","0"
"05-845 Port Lions","10","53","4","0"
"05-860 Cordova","68","384","33","2"
"05-865 Seward-Lowell Point","135","279","67","0"
"05-870 Tatitlek","7","12","0","0"
"District 5 - Absentee","530","2126","292","1"
"District 5 - Early Voting","14","45","3","0"
"District 5  - Question","28","94","12","1"
"Total","1561","5460","646","6"
