"1","Radner","Radner","Radner","Stutes","Stutes","Stutes","Stutes","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Stutes","Write-in","","Overvote","Radner","Write-in","","Radner","Stutes","",""
"05-800 Chiniak","16","1","0","32","0","4","0","0","0","0","1","0"
"05-810 Flats","101","31","1","329","0","63","2","2","0","0","33","0"
"05-815 Kodiak Island South","1","0","0","15","0","0","0","0","0","0","1","0"
"05-820 Kodiak No. 1","93","23","1","398","0","85","1","3","1","0","43","1"
"05-825 Kodiak No. 2","112","37","1","413","0","79","2","1","0","0","50","1"
"05-830 Mission Road","231","90","6","807","0","171","4","10","2","2","85","0"
"05-835 Old Harbor","6","1","0","17","0","4","0","0","0","0","2","0"
"05-840 Ouzinkie","11","3","0","28","0","11","0","0","0","0","4","0"
"05-845 Port Lions","7","3","0","49","0","4","0","0","0","0","4","0"
"05-860 Cordova","45","21","1","314","0","68","2","0","1","0","33","2"
"05-865 Seward-Lowell Point","99","35","1","230","0","48","1","1","0","0","66","0"
"05-870 Tatitlek","2","5","0","5","0","7","0","0","0","0","0","0"
"District 5 - Absentee","380","141","7","1832","1","267","21","13","2","5","279","1"
"District 5 - Early Voting","8","5","1","40","0","5","0","0","0","0","3","0"
"District 5  - Question","17","11","0","71","0","23","0","1","0","0","11","1"
"Total","1129","407","19","4580","1","839","33","31","6","7","615","6"
