"1","Johnson","Slaughter","Blank","Exhausted","Overvote"
"06-200 Anchor Point","218","386","19","366","2"
"06-210 Diamond Ridge","191","39","4","115","0"
"06-220 Fox River","79","24","7","148","0"
"06-230 Homer No. 1","287","89","15","164","0"
"06-240 Homer No. 2","242","87","18","200","1"
"06-250 Kachemak-Fritz Creek","383","101","12","183","1"
"06-260 Kasilof","387","171","47","482","2"
"06-270 Ninilchik","214","126","15","278","1"
"06-280 Seldovia-Kachemak Bay","81","16","13","49","2"
"District 6 - Absentee","1164","327","113","680","5"
"District 6 - Early Voting","1942","488","98","1538","3"
"District 6  - Question","61","46","15","53","0"
"Total","5249","1900","376","4256","17"
