"1","Johnson","Vance","Blank","Exhausted","Overvote"
"06-200 Anchor Point","230","575","19","165","2"
"06-210 Diamond Ridge","193","140","4","12","0"
"06-220 Fox River","75","167","7","9","0"
"06-230 Homer No. 1","277","231","15","32","0"
"06-240 Homer No. 2","233","274","18","22","1"
"06-250 Kachemak-Fritz Creek","374","264","12","29","1"
"06-260 Kasilof","359","625","47","56","2"
"06-270 Ninilchik","198","372","15","48","1"
"06-280 Seldovia-Kachemak Bay","73","69","13","4","2"
"District 6 - Absentee","1160","926","113","85","5"
"District 6 - Early Voting","1919","1915","98","135","2"
"District 6  - Question","59","80","15","21","0"
"Total","5150","5638","376","618","16"
