"1","Gillham","Gillham","Gillham","Ruffridge","Ruffridge","Ruffridge","Ruffridge","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Ruffridge","Write-in","","Gillham","Overvote","Write-in","","Gillham","Ruffridge","",""
"07-005 Central","205","75","2","296","101","0","3","6","1","1","57","0"
"07-010 K Beach","222","84","1","396","120","0","1","2","0","1","74","0"
"07-015 Kenai No. 1","185","90","2","289","100","0","3","5","0","1","79","0"
"07-020 Kenai No. 2","122","50","2","164","64","0","2","3","0","1","40","0"
"07-025 Kenai No. 3","91","30","0","144","41","0","1","3","0","0","32","0"
"07-030 Soldotna","205","68","2","375","103","0","3","5","0","0","85","0"
"District 7 - Absentee","400","153","1","634","184","0","11","13","3","5","181","0"
"District 7 - Early Voting","1068","310","6","1509","402","1","17","18","2","5","305","2"
"District 7  - Question","22","13","1","23","13","0","0","1","1","0","18","0"
"Total","2520","873","17","3830","1128","1","41","56","7","14","871","2"
