"1","Elam","Hillyer","Blank","Overvote"
"08-035 Bear Creek","213","236","148","0"
"08-040 Cooper Landing","48","61","38","0"
"08-045 Funny River No. 1","170","130","40","0"
"08-050 Funny River No. 2","133","92","49","0"
"08-055 Hope","20","17","32","0"
"08-060 Mackey Lake","249","201","89","0"
"08-065 Moose Pass","60","66","35","0"
"08-070 Nikiski","375","331","97","0"
"08-075 Salamatof","384","295","88","1"
"08-080 Sterling No. 1","336","283","87","1"
"08-085 Sterling No. 2","336","378","103","1"
"District 8 - Absentee","886","833","444","2"
"District 8 - Early Voting","1447","1327","403","1"
"District 8  - Question","14","18","11","0"
"Total","4671","4268","1664","6"
