"1","Elam","Elam","Elam","Hillyer","Hillyer","Hillyer","Hillyer","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Hillyer","Write-in","","Elam","Overvote","Write-in","","Elam","Hillyer","Overvote","",""
"08-035 Bear Creek","139","70","3","164","71","0","0","12","1","1","0","136","0"
"08-040 Cooper Landing","37","11","0","50","11","0","0","2","0","0","0","36","0"
"08-045 Funny River No. 1","126","43","1","96","33","0","0","3","0","1","0","37","0"
"08-050 Funny River No. 2","98","35","0","63","29","0","0","3","0","0","0","46","0"
"08-055 Hope","13","6","0","8","7","0","0","9","1","2","0","23","0"
"08-060 Mackey Lake","170","79","0","147","52","0","1","5","0","1","0","84","0"
"08-065 Moose Pass","48","11","0","50","16","0","0","0","1","0","0","35","0"
"08-070 Nikiski","282","92","1","239","89","0","3","7","0","0","0","90","0"
"08-075 Salamatof","273","108","2","199","92","1","1","7","1","2","0","81","1"
"08-080 Sterling No. 1","239","97","0","205","77","0","1","2","0","0","0","85","1"
"08-085 Sterling No. 2","261","74","1","286","92","0","0","3","0","0","1","100","0"
"District 8 - Absentee","607","264","9","594","233","0","5","30","6","1","0","414","2"
"District 8 - Early Voting","1028","414","4","1026","297","0","4","27","1","0","0","376","1"
"District 8  - Question","10","4","0","11","7","0","0","0","0","0","0","11","0"
"Total","3331","1308","21","3138","1106","1","15","110","11","8","1","1554","5"
