"1","Bauer","Holland","Blank","Overvote"
"09-105 Girdwood","176","609","44","1"
"09-110 Indian","48","74","9","0"
"09-115 South Anchorage No. 1","607","497","36","0"
"09-120 South Anchorage No. 2","667","497","52","0"
"09-125 South Anchorage No. 3","528","464","41","2"
"09-130 South Anchorage No. 4","558","524","46","1"
"09-135 South Anchorage No. 5","223","265","12","0"
"09-140 Stuckagain Heights","66","84","9","0"
"09-145 Whittier","53","22","8","0"
"District 9 - Absentee","1106","1977","156","0"
"District 9 - Early Voting","1048","1064","49","1"
"District 9  - Question","18","22","2","0"
"Total","5098","6099","464","5"
