"1","Bauer","Bauer","Bauer","Holland","Holland","Holland","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Holland","Write-in","","Bauer","Write-in","","Bauer","Holland","",""
"09-105 Girdwood","141","34","1","470","121","18","0","0","0","44","1"
"09-110 Indian","42","6","0","68","5","1","1","0","0","8","0"
"09-115 South Anchorage No. 1","501","99","7","377","109","9","0","0","2","36","0"
"09-120 South Anchorage No. 2","575","82","9","374","116","7","3","1","0","49","0"
"09-125 South Anchorage No. 3","440","83","4","381","76","7","4","1","0","37","2"
"09-130 South Anchorage No. 4","492","58","8","410","104","10","1","0","0","45","1"
"09-135 South Anchorage No. 5","195","23","5","212","49","4","1","0","0","11","0"
"09-140 Stuckagain Heights","55","10","0","72","9","3","0","1","0","9","0"
"09-145 Whittier","45","8","0","14","8","0","0","0","0","8","0"
"District 9 - Absentee","962","129","15","1636","287","49","5","0","5","151","0"
"District 9 - Early Voting","919","113","16","896","134","31","1","0","3","48","1"
"District 9  - Question","13","5","0","16","6","0","0","0","0","2","0"
"Total","4380","650","65","4926","1024","139","16","3","10","448","5"
