"1","Kiehl","Write-in","Blank","Overvote"
"03-300 Auke Bay","357","17","110","0"
"03-305 Lynn Canal","317","11","103","0"
"03-310 Melvin Park","445","15","116","0"
"03-315 Mendenhall Glacier","627","63","234","0"
"03-320 Thunder Mountain","591","24","187","0"
"03-325 Gustavus","147","5","37","0"
"03-330 Haines No. 1","504","22","123","0"
"03-335 Haines No. 2","79","2","28","0"
"03-340 Klukwan","40","0","1","0"
"03-345 Skagway","352","4","56","0"
"04-100 Douglas","451","3","75","0"
"04-105 Juneau Airport Area","195","19","85","0"
"04-110 Juneau No. 1","348","8","77","0"
"04-115 Juneau No. 2","404","16","40","1"
"04-120 Juneau No. 3","210","6","42","0"
"04-125 Lemon Creek","433","15","122","1"
"04-130 Glacier Valley Area","291","11","86","0"
"04-135 North Douglas","358","12","75","0"
"District 3 - Absentee","2014","59","549","0"
"District 3 - Early Voting","2718","117","725","0"
"District 3  - Question","132","7","49","0"
"District 4 - Absentee","1329","36","251","0"
"District 4 - Early Voting","3150","84","621","1"
"District 4  - Question","249","9","76","0"
"Total","15741","565","3868","3"
