"1","Bjorkman","Wegener","Blank","Exhausted","Overvote"
"07-005 Central","433","79","33","202","0"
"07-010 K Beach","554","82","36","228","1"
"07-015 Kenai No. 1","486","105","24","138","1"
"07-020 Kenai No. 2","272","51","15","109","1"
"07-025 Kenai No. 3","222","29","19","71","1"
"07-030 Soldotna","532","97","48","169","0"
"08-035 Bear Creek","330","109","33","125","0"
"08-040 Cooper Landing","80","30","2","35","0"
"08-045 Funny River No. 1","198","30","8","104","0"
"08-050 Funny River No. 2","158","24","12","80","0"
"08-055 Hope","38","21","6","4","0"
"08-060 Mackey Lake","292","59","25","163","0"
"08-065 Moose Pass","108","22","3","28","0"
"08-070 Nikiski","389","60","17","336","1"
"08-075 Salamatof","428","68","15","257","0"
"08-080 Sterling No. 1","371","60","25","249","2"
"08-085 Sterling No. 2","409","76","41","292","0"
"District 7 - Absentee","915","262","93","344","5"
"District 7 - Early Voting","2175","383","133","950","4"
"District 7  - Question","86","26","18","30","0"
"District 8 - Absentee","1134","444","88","527","3"
"District 8 - Early Voting","1594","316","103","1161","4"
"District 8  - Question","37","8","6","28","0"
"Total","11241","2441","803","5630","23"
