"1","Carpenter","Wegener","Blank","Exhausted","Overvote"
"07-005 Central","384","106","33","224","0"
"07-010 K Beach","466","104","36","294","1"
"07-015 Kenai No. 1","328","137","24","264","1"
"07-020 Kenai No. 2","223","71","15","137","2"
"07-025 Kenai No. 3","143","50","19","129","1"
"07-030 Soldotna","347","138","48","313","0"
"08-035 Bear Creek","257","147","33","160","0"
"08-040 Cooper Landing","58","37","2","50","0"
"08-045 Funny River No. 1","184","45","8","103","0"
"08-050 Funny River No. 2","150","25","12","87","0"
"08-055 Hope","13","25","6","25","0"
"08-060 Mackey Lake","296","81","25","137","0"
"08-065 Moose Pass","55","32","3","71","0"
"08-070 Nikiski","507","73","17","206","0"
"08-075 Salamatof","447","90","15","215","1"
"08-080 Sterling No. 1","409","83","25","189","1"
"08-085 Sterling No. 2","483","83","41","211","0"
"District 7 - Absentee","700","346","93","475","5"
"District 7 - Early Voting","1683","551","133","1276","2"
"District 7  - Question","73","26","18","43","0"
"District 8 - Absentee","1000","533","88","572","3"
"District 8 - Early Voting","1846","412","103","814","3"
"District 8  - Question","49","10","6","14","0"
"Total","10101","3205","803","6009","20"
