"1","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Carpenter","Carpenter","Carpenter","Carpenter","Wegener","Wegener","Wegener","Wegener","Blank","Overvote"
"2","","Carpenter","Overvote","Wegener","","Bjorkman","Overvote","Wegener","","Bjorkman","Carpenter","Overvote","",""
"07-005 Central","224","101","0","33","202","75","0","6","44","19","10","0","33","0"
"07-010 K Beach","294","128","0","34","228","98","0","12","41","14","15","0","36","1"
"07-015 Kenai No. 1","264","124","0","39","138","59","0","7","61","22","14","1","24","1"
"07-020 Kenai No. 2","137","60","1","25","109","49","0","5","26","11","9","0","15","1"
"07-025 Kenai No. 3","129","40","0","25","71","28","0","4","15","4","6","0","19","1"
"07-030 Soldotna","313","111","0","48","169","60","0","7","65","18","7","0","48","0"
"08-035 Bear Creek","160","55","0","49","125","66","0","11","78","15","5","0","33","0"
"08-040 Cooper Landing","50","10","0","11","35","9","0","4","20","5","1","0","2","0"
"08-045 Funny River No. 1","103","34","0","18","104","43","0","3","20","6","1","0","8","0"
"08-050 Funny River No. 2","87","36","0","3","80","32","0","2","15","4","3","0","12","0"
"08-055 Hope","25","3","0","5","4","5","0","1","16","3","1","0","6","0"
"08-060 Mackey Lake","137","67","0","30","163","58","0","8","30","18","3","0","25","0"
"08-065 Moose Pass","71","13","0","12","28","12","0","2","14","5","1","0","3","0"
"08-070 Nikiski","206","61","0","25","336","97","1","12","26","14","8","0","17","0"
"08-075 Salamatof","215","84","1","42","257","86","0","20","18","17","13","0","15","0"
"08-080 Sterling No. 1","189","55","0","33","249","94","1","10","27","16","7","0","25","1"
"08-085 Sterling No. 2","211","91","0","25","292","82","0","18","40","10","8","0","41","0"
"District 7 - Absentee","475","210","0","96","344","134","0","12","152","72","26","0","93","5"
"District 7 - Early Voting","1276","421","0","197","950","281","2","29","222","90","40","2","133","2"
"District 7  - Question","43","28","0","4","30","11","0","4","9","4","9","0","18","0"
"District 8 - Absentee","572","207","0","108","527","247","0","19","288","102","35","0","88","3"
"District 8 - Early Voting","814","286","1","144","1161","349","2","48","169","74","25","0","103","2"
"District 8  - Question","14","11","0","3","28","9","0","1","3","2","2","0","6","0"
"Total","6009","2236","3","1009","5630","1984","6","245","1399","545","249","3","803","17"
