"1","Borbridge","Kaufman","Blank","Exhausted","Overvote"
"11-205 Hillside No. 1","76","353","41","161","0"
"11-210 Hillside No. 2","97","729","64","319","2"
"11-215 Hillside No. 3","41","415","39","145","0"
"11-220 Hillside No. 4","41","459","27","158","0"
"11-225 Hillside No. 5","38","450","46","216","1"
"11-230 Hillside No. 6","59","488","31","203","0"
"11-235 Hillside No. 7","31","392","29","196","0"
"12-250 Southeast Anchorage No. 1","184","389","59","246","2"
"12-255 Southeast Anchorage No. 2","84","262","27","115","0"
"12-260 Southeast Anchorage No. 3","187","332","54","226","0"
"12-265 Southeast Anchorage No. 4","131","387","57","234","0"
"12-270 Southeast Anchorage No. 5","177","454","66","270","1"
"12-275 Southeast Anchorage No. 6","101","374","52","272","3"
"District 11 - Absentee","123","1229","96","1013","1"
"District 11 - Early Voting","120","1060","70","534","0"
"District 11  - Question","8","42","4","18","0"
"District 12 - Absentee","181","710","86","898","1"
"District 12 - Early Voting","226","726","70","578","0"
"District 12  - Question","10","37","17","15","1"
"Total","1915","9288","935","5817","12"
